gel mass (g),evaporation mass (g),mass loss (%),result,date
0.7932,0.02767,3.488401412,swarm,9/6/22
0.83783,0.03381,4.035424848,swarm,9/6/22
0.83607,0.03988,4.769935532,swarm,9/6/22
0.84528,0.04744,5.612341473,swarm,9/6/22
0.86112,0.05516,6.405611297,swarm,9/6/22
0.84176,0.05878,6.982988025,swarm,9/6/22
0.83567,0.063,7.538861034,swarm,9/6/22
0.86631,0.06986,8.064087913,swarm,9/6/22
0.8672,0.07518,8.669280443,swarm,9/6/22
0.78336,0.03698,4.720690359,swarm,9/13/22
0.81565,0.05319,6.521179427,swarm,9/13/22
0.80635,0.0729,9.040739133,swarm,9/13/22
0.7983,0.07891,9.884755105,swarm,9/13/22
0.85054,0.08336,9.800832412,swarm,9/13/22
0.84589,0.0882,10.42688766,swarm,9/13/22
0.84945,0.1012,11.91359115,swarm,9/13/22
0.85268,0.104791,12.28960454,swarm,9/13/22
0.85929,0.10932,12.72213106,swarm,9/13/22
0.8094,0.1226,15.14702249,swarm/consolidation,9/13/22
0.83744,0.1378,16.4549102,swarm/consolidation,9/13/22
0.83857,0.14947,17.82439152,swarm/consolidation,9/13/22
0.85217,0.11528,13.52781722,swarm,9/20/22
0.99223,0.1208,12.17459662,swarm,9/20/22
0.86204,0.12469,14.46452601,swarm,9/20/22
0.92773,0.14877,16.03591562,swarm/consolidation,9/20/22
0.87762,0.16298,18.57067979,mix,9/20/22
0.88922,0.16647,18.72090146,mix,9/20/22
0.88972,0.17461,19.62527537,slide,9/20/22
0.90613,0.17965,19.82607352,slide,9/20/22
0.87058,0.18994,21.81763882,slide,9/20/22
0.85159,0.21714,25.49818575,slide,9/27/22
0.84837,0.23657,27.88523875,slide,9/27/22
0.8678,0.29449,33.93523853,slide,9/27/22
0.90189,0.3152,34.94882968,slide,9/27/22
0.84873,0.31015,36.54283459,slide,9/27/22
0.81049,0.30856,38.07079668,slide,9/27/22
0.93592,0.2261,24.1580477,slide,9/27/22
0.94101,0.26027,27.65857961,slide,9/27/22
0.94797,0.29213,30.81637605,slide,9/27/22
0.95893,0.28922,30.16069995,slide,9/27/22
0.9677,0.29924,30.92280665,slide,9/27/22
0.96799,0.31188,32.21934111,slide,9/27/22
1.02648,0.23957,23.33898371,mix,9/27/22
1.07757,0.24903,23.11033158,mix,9/27/22
1.0636,0.26974,25.36103798,slide,9/27/22
1.06217,0.30623,28.8306015,slide,9/27/22
1.06513,0.30501,28.63594115,slide,9/27/22
1.06338,0.32659,30.71244522,slide,9/27/22
0.77873,0.18568,23.84395105,mix,10/4/22
0.82424,0.24196,29.35552752,x,10/4/22
0.83694,0.23406,27.96616245,slide,10/4/22
0.88066,0.33883,38.47455318,x,10/4/22
0.87946,0.27847,31.66374821,slide,10/4/22
0.96441,0.16842,17.46352692,swarm,10/4/22
0.97081,0.2898,29.85136123,slide,10/4/22
0.96852,0.28776,29.71131211,slide,10/4/22
0.97272,0.29712,30.5452751,slide,10/4/22
0.96079,0.36968,38.47667024,slide,10/4/22
1.03732,0.30129,29.04503914,mix,10/4/22
1.07078,0.38094,35.5759353,slide,10/4/22
1.0448,0.41382,39.6075804,slide,10/4/22
1.04948,0.40291,38.39139383,x,10/4/22
1.10776,0.46969,42.39997833,x,10/4/22
0.83563,0.12106,14.48727308,x,10/6/22
0.83244,0.14139,16.98500793,mix,10/6/22
0.87154,0.17138,19.66404296,slide,10/6/22
0.81205,0.20152,24.8162059,slide,10/6/22
0.92387,0.13916,15.06272528,swarm,10/6/22
0.99725,0.18838,18.88994736,mix,10/6/22
0.95306,0.20283,21.28197595,slide,10/6/22
0.98992,0.21957,22.18058025,slide,10/6/22
1.05048,0.1365,12.99405986,swarm,10/6/22
1.0688,0.20402,19.0886976,swarm,10/6/22
1.07507,0.22304,20.74655604,swarm/consolidation,10/6/22
1.07217,0.2617,24.40844269,slide,10/6/22
0.88476,0.10116,11.43360911,swarm,10/18/22
0.93872,0.15237,16.23167718,swarm/consolidation,10/18/22
0.95405,0.16877,17.68984854,swarm/consolidation,10/18/22
0.98484,0.17826,18.1004021,swarm/consolidation,10/18/22
1.01831,0.09343,9.175005647,swarm,10/18/22
1.01803,0.14391,14.13612565,swarm,10/18/22
1.03106,0.17441,16.91560142,swarm,10/18/22
1.0313,0.1789,17.34703772,swarm,10/18/22
1.0395,0.12692,12.20971621,swarm,10/18/22
1.06194,0.16172,15.22873232,swarm,10/18/22
1.0527,0.22144,21.0354327,swarm/consolidation,10/18/22
1.05856,0.22887,21.6208812,swarm/consolidation,10/18/22
0.7874,0.11275,14.31927864,mix,11/2/22
0.85787,0.1298,15.13049763,swarm,11/2/22
0.91113,0.13492,14.80798569,swarm,11/2/22
0.97413,0.1576,16.1785388,swarm,11/2/22
0.98918,0.14168,14.32297459,swarm,11/2/22
0.98709,0.17271,17.49688478,swarm,11/2/22
1.01491,0.16704,16.45860224,swarm,11/2/22
1.01306,0.22005,21.72131957,swarm,11/2/22
1.03017,0.19864,19.28225439,swarm,11/2/22
1.07176,0.27627,25.77722624,mix,11/2/22
1.07698,0.19842,18.42374046,swarm,11/2/22
1.08157,0.18546,17.14729514,swarm,11/2/22
1.08621,0.26057,23.98891559,swarm,11/2/22
1.07622,0.20865,19.38729999,swarm,11/2/22